,nyc,mia,yul,los,rio,hkg,sin,dac,msq,syd,edi,cpt,auh,bjs,del
tng,5830.0,7030.0,5660.0,3380.0,7610.0,11000.0,11700.0,9010.0,3250.0,17900.0,2250.0,8160.0,5860.0,9720.0,7610.0
tnr,14000.0,14600.0,13900.0,5600.0,9270.0,8560.0,6570.0,6630.0,8290.0,10000.0,9580.0,3320.0,4860.0,9660.0,6150.0
tol,827.0,1790.0,917.0,9290.0,8300.0,12700.0,15200.0,12700.0,7550.0,15200.0,5750.0,13400.0,11500.0,10700.0,12000.0
tos,5920.0,7680.0,5440.0,7100.0,11400.0,7890.0,9670.0,6820.0,1800.0,15100.0,1880.0,11500.0,5540.0,6160.0,5830.0
tpa,1630.0,330.0,2090.0,9250.0,7050.0,14100.0,16700.0,14200.0,8720.0,14900.0,6810.0,12600.0,12600.0,12200.0,13400.0
tpe,12500.0,13900.0,12000.0,12400.0,18300.0,777.0,3220.0,3120.0,8010.0,7270.0,9590.0,12600.0,6650.0,1710.0,4360.0
trd,5790.0,7520.0,5360.0,6360.0,10700.0,8420.0,10000.0,7130.0,1430.0,15700.0,1150.0,10800.0,5380.0,6790.0,6020.0
tre,5010.0,6630.0,4630.0,5620.0,9460.0,9660.0,11100.0,8240.0,2190.0,17100.0,225.0,10300.0,6020.0,8050.0,7030.0
trf,5910.0,7600.0,5500.0,5870.0,10300.0,8640.0,10100.0,7190.0,1210.0,16000.0,885.0,10400.0,5170.0,7080.0,6000.0
tri,872.0,1210.0,1230.0,9190.0,7770.0,13200.0,15700.0,13300.0,7930.0,15200.0,6080.0,13000.0,11900.0,11300.0,12500.0
trn,6360.0,7850.0,6070.0,4310.0,9140.0,9460.0,10400.0,7610.0,1720.0,16700.0,1420.0,8870.0,4780.0,8190.0,6240.0
trs,6760.0,8290.0,6440.0,4490.0,9560.0,8980.0,9900.0,7110.0,1310.0,16100.0,1640.0,8880.0,4330.0,7760.0,5750.0
tru,5460.0,3770.0,5970.0,9290.0,4170.0,17900.0,19200.0,17900.0,11800.0,12900.0,9880.0,10200.0,14800.0,16100.0,16600.0
trv,13800.0,15500.0,13300.0,8100.0,13400.0,4260.0,3110.0,2220.0,6680.0,9110.0,8610.0,7740.0,2960.0,5230.0,2240.0
tsa,12500.0,13900.0,12000.0,12500.0,18500.0,808.0,3230.0,3150.0,8030.0,7260.0,9610.0,12600.0,6680.0,1720.0,4390.0
tse,9270.0,11000.0,8770.0,7920.0,13700.0,4860.0,6310.0,3440.0,2950.0,12200.0,4730.0,10800.0,3280.0,3650.0,2540.0
ttn,87.9,1690.0,581.0,8530.0,7740.0,13000.0,15400.0,12700.0,7190.0,15900.0,5310.0,12600.0,11100.0,11000.0,11800.0
tul,1960.0,1880.0,2120.0,10400.0,8580.0,12800.0,15400.0,13300.0,8630.0,14000.0,6890.0,14200.0,12600.0,10900.0,12800.0
tun,7020.0,8370.0,6780.0,3430.0,8670.0,9690.0,10300.0,7610.0,2320.0,16400.0,2350.0,7920.0,4430.0,8630.0,6200.0
tus,3410.0,3060.0,3510.0,11800.0,9430.0,12300.0,14800.0,13400.0,9660.0,12600.0,8080.0,15400.0,13500.0,10600.0,13200.0
txl,6370.0,7980.0,6000.0,5180.0,9990.0,8750.0,9930.0,7070.0,958.0,16100.0,1140.0,9620.0,4670.0,7350.0,5780.0
tys,1030.0,1170.0,1370.0,9330.0,7810.0,13300.0,15800.0,13400.0,8080.0,15000.0,6230.0,13100.0,12000.0,11300.0,12600.0
uih,13900.0,15500.0,13400.0,11500.0,16900.0,1090.0,1490.0,2270.0,8220.0,6900.0,10100.0,10900.0,5810.0,2990.0,3700.0
uio,4570.0,2880.0,5090.0,9090.0,4570.0,17200.0,19600.0,17100.0,11100.0,13600.0,9090.0,10600.0,14300.0,15300.0,15900.0
upg,15800.0,16900.0,15300.0,13000.0,16400.0,3110.0,1870.0,4510.0,10600.0,4570.0,12500.0,10700.0,7740.0,5010.0,5870.0
ush,10600.0,9030.0,11200.0,9450.0,4120.0,16400.0,14000.0,16100.0,14900.0,9450.0,13600.0,6790.0,14300.0,18300.0,16000.0
usm,14400.0,16100.0,13900.0,10600.0,15800.0,2080.0,1010.0,1880.0,8000.0,7230.0,9950.0,9820.0,5070.0,3730.0,3190.0
uth,13500.0,15200.0,13000.0,10800.0,16400.0,1310.0,1790.0,1470.0,7480.0,7660.0,9370.0,10600.0,5040.0,2820.0,2900.0
uvf,3270.0,2430.0,3730.0,7050.0,4490.0,16000.0,17700.0,14800.0,8690.0,16100.0,6760.0,9910.0,11800.0,14000.0,13500.0
vav,12200.0,11200.0,12200.0,18700.0,13000.0,9030.0,9210.0,11400.0,15700.0,3850.0,15800.0,14000.0,15000.0,9690.0,12800.0
vce,6660.0,8190.0,6360.0,4410.0,9450.0,9130.0,10000.0,7240.0,1430.0,16300.0,1590.0,8850.0,4440.0,7890.0,5870.0
vcp,7610.0,6490.0,8060.0,6390.0,406.0,18000.0,16100.0,15700.0,11100.0,13400.0,9690.0,6420.0,12200.0,17500.0,14400.0
vde,5250.0,6130.0,5230.0,3250.0,6260.0,12400.0,13000.0,10400.0,4670.0,18800.0,3330.0,7870.0,7150.0,11100.0,9010.0
vgo,5310.0,6650.0,5090.0,4140.0,8060.0,10700.0,11700.0,8950.0,2950.0,18000.0,1570.0,8920.0,6050.0,9330.0,7600.0
vgt,3590.0,3490.0,3590.0,12000.0,10000.0,11700.0,14200.0,12800.0,9380.0,12400.0,7920.0,15800.0,13200.0,10000.0,12700.0
vie,6810.0,8380.0,6450.0,4780.0,9870.0,8710.0,9700.0,6890.0,998.0,15900.0,1610.0,9130.0,4230.0,7450.0,5550.0
vix,7630.0,6690.0,8050.0,5630.0,410.0,17400.0,15600.0,14900.0,10500.0,13900.0,9160.0,5940.0,11400.0,16900.0,13700.0
vko,7500.0,9210.0,7070.0,6210.0,11500.0,7160.0,8430.0,5550.0,653.0,14500.0,2510.0,10100.0,3730.0,5810.0,4350.0
vlc,6050.0,7390.0,5830.0,3670.0,8220.0,10400.0,11100.0,8420.0,2640.0,17400.0,1830.0,8400.0,5380.0,9110.0,7030.0
vli,13600.0,12900.0,13600.0,18000.0,14400.0,7370.0,7340.0,9610.0,14800.0,2480.0,15700.0,13400.0,13100.0,8350.0,11000.0
vll,5620.0,6970.0,5390.0,3990.0,8190.0,10500.0,11400.0,8670.0,2740.0,17700.0,1590.0,8740.0,5750.0,9170.0,7310.0
vln,3440.0,2160.0,3960.0,7840.0,4550.0,16400.0,18500.0,15600.0,9450.0,15200.0,7500.0,10300.0,12700.0,14400.0,14300.0
vno,6950.0,8630.0,6530.0,5680.0,10800.0,7930.0,9160.0,6280.0,171.0,15300.0,1800.0,9870.0,4140.0,6570.0,5020.0
vns,12300.0,14000.0,11800.0,8640.0,14600.0,3190.0,3510.0,782.0,5490.0,9770.0,7450.0,9460.0,2830.0,3490.0,666.0
vog,8370.0,10100.0,7950.0,6070.0,11700.0,6690.0,7710.0,4860.0,1300.0,13900.0,3270.0,9540.0,2850.0,5580.0,3570.0
vps,1600.0,801.0,2000.0,9610.0,7520.0,13700.0,16300.0,14000.0,8710.0,14600.0,6820.0,13100.0,12600.0,11800.0,13200.0
vrn,6580.0,8080.0,6260.0,4380.0,9350.0,9220.0,10100.0,7350.0,1510.0,16400.0,1530.0,8870.0,4540.0,7970.0,5990.0
vte,13500.0,15100.0,12900.0,10800.0,16400.0,1310.0,1850.0,1420.0,7420.0,7720.0,9300.0,10600.0,4990.0,2770.0,2850.0
waw,6840.0,8480.0,6470.0,5310.0,10400.0,8270.0,9410.0,6550.0,478.0,15600.0,1630.0,9580.0,4180.0,6940.0,5260.0
wdh,11700.0,11800.0,11800.0,3570.0,6160.0,11600.0,9700.0,9400.0,8550.0,12100.0,8930.0,1280.0,6580.0,12300.0,8550.0
wlg,14400.0,13100.0,14600.0,16000.0,11900.0,9430.0,8510.0,11300.0,17200.0,2220.0,18300.0,11300.0,14200.0,10800.0,12600.0
wro,6660.0,8270.0,6290.0,5100.0,10100.0,8580.0,9670.0,6820.0,777.0,15900.0,1440.0,9460.0,4360.0,7240.0,5520.0
xmn,12600.0,14100.0,12100.0,12200.0,18000.0,465.0,2980.0,2820.0,7870.0,7370.0,9510.0,12300.0,6360.0,1720.0,4090.0
xna,1830.0,1770.0,2000.0,10300.0,8480.0,12800.0,15400.0,13300.0,8550.0,14200.0,6790.0,14000.0,12500.0,11000.0,12700.0
